"1","Breakfast Sandwich","breakfast-sandwich.svg","breakfast-sandwich-thumbnail.png","5.00","Our classic breakfast staple with your choice of protein + extras."
"2","French Toast","french-toast.svg","french-toast-thumbnail.png","5.50","Delicious, warm french toast with maple syrup and butter."
"3","Cheesesteak","cheesesteaks.svg","cheesesteak-thumbnail.png","6.00","A Philly staple, complete with optional onions."
"4","Chicken Cheesesteak","cheesesteaks.svg","chicken-cheesesteak-thumbnail.png","6.00","Try this juicy alternative to the classic cheesesteak."
"5","Sandwich","sandwich.svg","sandwich-thumbnail.png","5.00","Bread, protein, and toppings on your choice of either sandwich or hoagie roll."
"6","Club Sandwich","sandwich.svg","club-sandwich-thumbnail.png","5.00","Classic diner-style, multi-layer club sandwich."
"7","Hot Dog & Sausage","hotdog.svg","hotdog-saussage-thumbnail.png","2.00","We offer classic hot dogs, and a few sausage options."
"8","Hoagies","hoagies.svg","hoagies-thumbnail.png","4.50","Nothing says Philly like a hoagie, customize your own here."
"9","Burger","burger.svg","burger-thumbnail.png","5.00","Beef patty with cheese and your choice of toppings."
"10","Grilled Cheese","grilled-cheese.svg","grilled-cheese-thumbnail.png","3.50","Classic grilled cheese, with the choice of additional protein."
"11","Side Orders","side-orders.svg","side-orders-thumbnail.png","0.00","Order side dishes here!"
"12","Drinks","drinks.svg","drinks-thumbnail.png","0.00","Order drinks here!"
